Wavenumbers [1/cm];Absorbance;
2568,000;0,08762467;
2566,000;0,08734953;
2564,000;0,08706355;
2562,000;0,08680654;
2560,000;0,08657229;
2558,000;0,08632803;
2556,000;0,08608496;
2554,000;0,08582819;
2552,000;0,0856508;
2550,000;0,0854522;
2548,000;0,08521521;
2546,000;0,08491671;
2544,000;0,08446598;
2542,000;0,0840292;
2540,000;0,08366168;
2538,000;0,08343053;
2536,000;0,0833149;
2534,000;0,08330607;
2532,000;0,08327699;
2530,000;0,08324456;
2528,000;0,08319581;
2526,000;0,0830375;
2524,000;0,08274889;
2522,000;0,08235025;
2520,000;0,08185458;
2518,000;0,08142018;
2516,000;0,08105516;
2514,000;0,0807035;
2512,000;0,08040631;
2510,000;0,08009243;
2508,000;0,07980335;
2506,000;0,07951152;
2504,000;0,07926559;
2502,000;0,07902956;
2500,000;0,07876194;
2498,000;0,0785234;
2496,000;0,07831264;
2494,000;0,07808578;
2492,000;0,07782006;
2490,000;0,0776149;
2488,000;0,07741189;
2486,000;0,07718933;
2484,000;0,07695019;
2482,000;0,07674527;
2480,000;0,07657886;
2478,000;0,07638133;
2476,000;0,07619452;
2474,000;0,07608533;
2472,000;0,07589412;
2470,000;0,07553625;
2468,000;0,07512534;
2466,000;0,0748024;
2464,000;0,07452369;
2462,000;0,07427073;
2460,000;0,07406557;
2458,000;0,07387531;
2456,000;0,07365775;
2454,000;0,07345617;
2452,000;0,07328081;
2450,000;0,07309508;
2448,000;0,07294011;
2446,000;0,07277632;
2444,000;0,07259476;
2442,000;0,07247126;
2440,000;0,07233965;
2438,000;0,07221365;
2436,000;0,07210815;
2434,000;0,07201421;
2432,000;0,07194591;
2430,000;0,0718466;
2428,000;0,07174563;
2426,000;0,07164979;
2424,000;0,07162488;
2422,000;0,07159483;
2420,000;0,07158053;
2418,000;0,07155168;
2416,000;0,07146919;
2414,000;0,07132709;
2412,000;0,07111776;
2410,000;0,07090867;
2408,000;0,0707227;
2406,000;0,07056594;
2404,000;0,07039165;
2402,000;0,07023942;
2400,000;0,07015026;
2398,000;0,07004046;
2396,000;0,06988788;
2394,000;0,06978691;
2392,000;0,06965005;
2390,000;0,06959772;
2388,000;0,0695498;
2386,000;0,06963098;
2384,000;0,06995213;
2382,000;0,07058287;
2380,000;0,07160449;
2378,000;0,07297766;
2376,000;0,07446277;
2374,000;0,07588267;
2372,000;0,0772016;
2370,000;0,07843792;
2368,000;0,07960486;
2366,000;0,08056879;
2364,000;0,08135056;
2362,000;0,08196926;
2360,000;0,08229101;
2358,000;0,08224547;
2356,000;0,08173954;
2354,000;0,0808655;
2352,000;0,07948709;
2350,000;0,07729256;
2348,000;0,07660568;
2346,000;0,07838368;
2344,000;0,07990134;
2342,000;0,08020353;
2340,000;0,08008885;
2338,000;0,07974648;
2336,000;0,07937586;
2334,000;0,07913339;
2332,000;0,07916069;
2330,000;0,07910597;
2328,000;0,07861888;
2326,000;0,07791293;
2324,000;0,07757533;
2322,000;0,07708931;
2320,000;0,07627475;
2318,000;0,07521212;
2316,000;0,07417107;
2314,000;0,07350886;
2312,000;0,07289135;
2310,000;0,07217383;
2308,000;0,07143092;
2306,000;0,0707109;
2304,000;0,07003021;
2302,000;0,06948519;
2300,000;0,06905687;
2298,000;0,06867337;
2296,000;0,06830752;
2294,000;0,06800199;
2292,000;0,06774104;
2290,000;0,0674758;
2288,000;0,0671972;
2286,000;0,06700778;
2284,000;0,0667721;
2282,000;0,06666768;
2280,000;0,06660128;
2278,000;0,06653166;
2276,000;0,06644917;
2274,000;0,06634331;
2272,000;0,06620669;
2270,000;0,06597888;
2268,000;0,06572425;
2266,000;0,06550896;
2264,000;0,06534553;
2262,000;0,06517756;
2260,000;0,06499541;
2258,000;0,0648632;
2256,000;0,06471837;
2254,000;0,06459725;
2252,000;0,06446815;
2250,000;0,06438935;
2248,000;0,06428909;
2246,000;0,06420052;
2244,000;0,06413817;
2242,000;0,06400239;
2240,000;0,06376243;
2238,000;0,06341648;
2236,000;0,06306159;
2234,000;0,06269562;
2232,000;0,06246197;
2230,000;0,06229472;
2228,000;0,06214082;
2226,000;0,06204093;
2224,000;0,06191838;
2222,000;0,06180453;
2220,000;0,0616442;
2218,000;0,06144333;
2216,000;0,06123579;
2214,000;0,06099057;
2212,000;0,06079161;
2210,000;0,06059897;
2208,000;0,06040323;
2206,000;0,06021535;
2204,000;0,06003726;
2202,000;0,05983651;
2200,000;0,05965459;
2198,000;0,05947363;
2196,000;0,05929673;
2194,000;0,05912936;
2192,000;0,05895627;
2190,000;0,05875468;
2188,000;0,05854571;
2186,000;0,0583576;
2184,000;0,05817199;
2182,000;0,05801272;
2180,000;0,05778503;
2178,000;0,05757976;
2176,000;0,05736721;
2174,000;0,05717695;
2172,000;0,05694163;
2170,000;0,056759;
2168,000;0,05659711;
2166,000;0,05646849;
2164,000;0,05627716;
2162,000;0,05611408;
2160,000;0,05594862;
2158,000;0,05579782;
2156,000;0,05564034;
2154,000;0,05549264;
2152,000;0,05531895;
2150,000;0,0551734;
2148,000;0,05501115;
2146,000;0,05481243;
2144,000;0,05459225;
2142,000;0,05437672;
2140,000;0,05414248;
2138,000;0,05389607;
2136,000;0,05363834;
2134,000;0,05338323;
2132,000;0,05318832;
2130,000;0,05295217;
2128,000;0,05275679;
2126,000;0,05253768;
